投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
508916,猎豹汽车,猎豹CS10,2016款 2.0T 手动 卓越型,"北京现代索纳塔九配件不按时到货价格谎报
哈弗F7刹车异响4S店推脱不予处理
别克昂科旗尾灯进水存在短路风险
上汽大众途安天窗漏水希望厂家处理
一汽大众奥迪Q5L行驶中踩油门加速困难
北京现代名图轮毂腐蚀灯眉断裂4S店不保修
上汽名爵HS刹车偏软电瓶亏电存在质量问题
哈弗H7发动机异响抖动希望厂家处理
上汽大众途岳后备箱漏水希望厂家处理
哈弗F7车载互联系统与官方信息不符
一汽大众探岳升降挡时变速箱顿挫有异响
上汽大众帕萨特烧机油更换油气分离器未解决
广汽传祺GS4车身漏水严重4S店不予保修
吉利帝豪GL手机互联功能无法使用
雪佛兰迈锐宝XL发动机故障灯常亮
一汽大众速腾多个故障灯报警希望处理
一汽马自达阿特兹AB柱 顶棚 中控异响
一汽马自达阿特兹方向盘异响车身异响
吉利帝豪GL变速箱顿挫厂家和4S店无人联系
一汽马自达阿特兹车身异响厂家不处理
广汽传祺GS8智慧传祺APP收费不合理
一汽马自达阿特兹车身中控不定时出现异响
北京奔驰E级倍耐力轮胎爆胎 电瓶漏电
吉利缤瑞变速箱换挡异响 离合器异响
雷克萨斯RX前悬架漏油存在质量问题
一汽大众奥迪Q5L前挡风玻璃自然开裂
东风风神AX7发动机舱以及后备箱多处生锈
猎豹CS10方向机故障厂家无法提供配件",转向系统,转向机故障,,2020-08-14,信息审核,制动系统
508865,上汽大众,帕萨特,2013款 帕萨特 1.8TSI DSG 尊荣版,"一汽大众捷达VS5变速箱换挡不平顺
一汽马自达阿特兹行驶过程中车身有异响
一汽马自达阿特兹车身异响中控异响天窗异响
猎豹CS10发动机高温故障 厂家没有配件
北京现代领动刹车发动机异响变速箱顿挫
一汽马自达CX-4行驶中车身和中控台有异响
华晨宝马5系方向机异响 售后不予保修
一汽大众探岳大灯透镜发白影响照明
东风本田CR-V底盘多处生锈存在安全隐患
凯迪拉克CT6按键起皮希望尽快处理
雷克萨斯ES副驾驶座椅缝线开裂希望处理
众泰T700转向助力失灵要求厂家尽快解决	
东风本田INSPIRE汽油泵在高速路上行驶中损坏
北汽绅宝X25转向异响4S店未查出原因
吉利博越发动机爆震动力下降要求处理
东风日产逍客发动机故障灯亮车辆无法加速
别克威朗发动机抖动熄火维修未解决问题
广汽本田飞度冷车启动异响发动机故障灯亮
BEIJING汽车E系列车锁故障 LED灯闪烁
华晨宝马3系怠速时车辆间歇抖动要求解决
哈弗F7刹车失灵4S店拒绝出具检测报告
奔腾B50车身漆面大面积生锈4S店不予保修
一汽大众高尔夫经销商不予交付车辆
一汽丰田RAV4荣放邓禄普轮胎老化裂纹
长安福特福睿斯空调不制冷仪表盘故障灯亮
上汽大众朗逸变速箱控制单元损坏要求解决
东风日产阳光起步时离合器异响要求解决
上汽大众帕萨特4S店要求购买保养套餐",,服务态度,服务收费,2020-08-14,处理反馈,车身附件及电器
508810,一汽奔腾,奔腾B30,2016款 1.6L 自动 豪华型,"上汽大众朗逸气门嘴胶皮开裂严重
哈弗H6变速箱加速时异响望厂家处理
一汽马自达CX-4车身后备箱异响 天窗异响
一汽大众奥迪Q3经销商上牌承诺不兑现
东风标致4008服务站未将保养记录上传
一汽马自达阿特兹行驶中车身多处异响
新宝骏RS-5车门饰条开裂 自动刹车功能不全
哈弗F7车顶行李架变形 希望厂家处理解决
一汽大众奥迪Q5L无法启动电瓶故障
观致3无法行驶变速箱模块和发电机故障
别克君威发动机冷启动抖动希望厂家处理
别克昂科威离合器异响要求厂家解决
上汽名爵HS空调制冷效果差要求处理
广汽三菱劲炫ASX油表不准要求厂家解决
长安福特金牛座发动机故障灯亮 4S店服务差
北京现代途胜多媒体屏幕经常黑屏失灵
上汽荣威RX5 MAX行驶中切换模式出现错误
北汽新能源EC3新车车身漆面有多处小气泡
斯柯达速派提示变速箱紧急运动状态
众泰T700车漆鼓包 大灯进水 装饰开裂
凯迪拉克XT4发动机启停介入后无法启动
猎豹CS9发动机冷却系统故障水温高
东风雪铁龙C4L节温器故障 发动机噪音大
东风本田思域雨刮器掉落4S店出售问题车
东风标致4008发动机缺缸熄火维修后未解决
一汽红旗H5发动机涡轮增压器故障
上汽大众朗逸经销商出售8个月的库存车
一汽奔腾B30电子防盗故障多次维修未解决",车身附件及电器,无发动机防盗,,2020-08-13,信息审核,变速器
508745,奇瑞新能源,奇瑞eQ,2015款 豪华型,"斯柯达明锐发动机无法启动维修未解决问题
上汽大众朗逸新车跑偏四轮定位无效
吉利远景S1车顶内部多处大面积漏水
广汽菲克Jeep指南者发动机抖动主副驾驶异响
广汽本田雅阁首保玻璃水未加满服务差
长安福特翼虎方向盘按键失灵希望厂家处理
北京现代领动踩油门时发动机异响动力弱
一汽马自达阿特兹中控死机 AB柱异响
别克凯越发动机舱防火棉开裂破损严重
猎豹CS9仪表提示发动机和变速箱故障灯亮
捷达VS5经销商承诺赠送智能礼包未兑现	
东风本田思域销售承诺未兑现希望厂家处理问题
广汽传祺GS4刹车异响越来越严重
一汽马自达CX-4转向异响 4S店态度恶劣
奇瑞瑞虎8底盘异响严重希望尽快处理
东风标致408加满油怠速抖动希望处理
吉利EC8车身生锈 仪表显示不清晰希望处理
观致5多功能方向盘静音键无法工作
上汽大众凌渡变速箱抖动异响严重
吉利帝豪GL经销商出售库存车希望解决
广汽本田雅阁颠簸或加速中控台共振异响
广汽本田雅阁胎压故障灯一直报警
吉利星越升降器开关按键材质不一样
广汽传祺GA6发动机故障灯亮希望厂家处理
吉利嘉际备胎异常磨损要求尽快解决
广汽传祺GS8经销商修出新问题希望处理
长安欧尚X7发动机无法启动 厂家收取拖车费
奇瑞eQ方向机漏油 多次维修未解决影响使用",转向系统,漏油,,2020-08-13,厂家受理,前后桥及悬挂系统
508682,上汽通用别克,英朗,2016款 15N 手动 精英型,"别克英朗天窗塑料部件老化雨刮器效果差
东风日产天籁变速箱阀体故障要求延保
广汽丰田雷凌4S店不提供代步险补偿
北京奔驰E级左后减震器异响严重
众泰E200动力电池故障车辆无法行驶
哈弗H6导航失灵影响正常使用希望处理
哈弗H2s怠速时发动机异响希望厂家处理
吉利远景变速箱故障无提示 车辆失速
广汽本田飞度发动机抖动异响希望厂家处理
长城C30喷漆后存在明显色差希望处理
东风标致408换正时皮带后烧机油
知豆D2日行灯不亮 悬架异响 德林特轮胎鼓包
广汽本田锋范车身生锈严重希望处理
中华V7车机互联无法使用要求厂家尽快解决
上汽大众朗逸发动机漏油抖动熄火
别克凯越排气管严重生锈造成断裂
吉利远景减配胎压显示 车窗共振
斯威X7转向柱异响4S多次维修未解决
凯迪拉克XTS中控屏触摸失灵要求解决
奇瑞瑞虎3x缸内有异物 行驶中发动机熄火
猎豹Mattu发动机高温 车灯不亮无配件
WEY VV7车架焊点氧化生锈一直未解决
一汽马自达阿特兹车身两侧B柱行驶时异响
上汽大众凌渡变速箱异响 车身异响
一汽大众奥迪Q5L发动机抖动 中控电流声
北京奔驰E级倍耐力轮胎爆胎厂家拒赔
宝骏530发动机舱内出现大面积生锈
别克英朗转向时异响希望免费维修",转向系统,异响,,2020-08-13,处理反馈,变速器
508625,一汽-大众奥迪,奥迪Q2L,2020款 35TFSI 进取动感型,"上汽大众朗逸蓄电池故障希望厂家处理问题
华晨宝马3系热管理模块故障防冻液泄漏
一汽马自达CX-4车身异响内饰异响
奇瑞艾瑞泽7e高压包故障导致车辆无法行驶
哈弗H6 Coupe发动机漏油 智能启停故障
北京现代领动ABS和防侧滑故障灯报警
众泰T700两前大灯起雾4S店倒闭没有售后
进口宝马5系行驶中突然熄火存在安全隐患
一汽大众奥迪Q3副驾驶胶垫积水严重
上汽大众途观L方向盘抖动异响售后未解决
奇瑞瑞虎3车身漆面有多处开裂掉漆的现象
众泰SR9变速箱异响 一直没有配件更换
哈弗H6车载导航无法更新厂家不予处理
雪佛兰迈锐宝XL启动前刹车硬 希望厂家处理
吉利帝豪GS座椅晃动异响厂家未处理
广汽传祺GS5刹车时有异响 希望厂家处理
东风日产奇骏变速箱挡杆处过热 座椅不平整
WEY VV7购买车机厂家不发货无法安装
广汽传祺GS4经销商出售库存车要求解决
雷克萨斯ES挡把掉色 尾灯进水品质堪忧
广汽菲克Jeep自由光减速行驶时底盘有异响
别克昂科旗B柱脱焊导致行驶异响
一汽马自达阿特兹车身A柱 B柱 C柱 顶棚异响
江淮iEV动力电池采集线阻值故障无法根治
宝骏730车内异味厂家不解决问题
一汽大众迈腾主驾驶侧车门内拉手自然开裂
别克昂科威变速箱离合器异响要求解决
一汽大众奥迪Q2L发动机故障灯常亮",发动机,故障灯亮,,2020-08-13,信息审核,发动机
508574,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,"华晨宝马5系天窗异响维修未解决问题
上汽名爵6变速箱漏油希望尽快处理
吉利缤越空调出风口和刹车异响车机无法升级
一汽马自达CX-4车身异响厂家未处理
一汽红旗HS5新车出现左前轮半轴漏油
比亚迪宋MAX更换两次变速箱后抖动未解决
别克君越变速箱异响顿挫维修未解决问题
长安福特翼虎排气管开焊异响 车身异响
上汽通用五菱宏光车身异响更换车窗未解决
北京现代名图发电机轴承严重漏油
野马T70内衬板内拉手坏经销商倒闭没备件
一汽大众奥迪A6L仪表台鼓包 转向异响
东风风行菱智电子转向助力失效导致沉重
一汽马自达CX-4车身异响维修未解决问题
捷达VS5起步及刹车异响希望处理
北汽威旺M60方向跑偏厂家无配件更换
广汽本田雅阁天窗异响希望厂家处理
BEIJING绅宝X55变速箱顿挫要求厂家解决
捷途X70S漆面开裂转向异响希望厂家处理问题
奇瑞艾瑞泽GX踏板抖动 行驶跑偏 换挡顿挫
长安福特翼虎油箱异响希望厂家处理
一汽大众奥迪A6L尾灯开裂4S店不予保修
凯迪拉克CT6 A柱异响影响正常使用
WEY VV6 Carplay无法连接影响使用
斯柯达昊锐车内异味严重一直无法解决
华晨宝马5系发动机抖动异响希望处理
别克英朗车门喷漆不全面 重复维修 希望处理
广汽本田雅阁发动机故障灯亮动力丢失",发动机,故障灯亮,动力消失,2020-08-13,处理反馈,变速器
508526,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,"长安奔奔EV后刹车雨天时抱死有异响
北京现代ix35一键启动失灵希望厂家处理问题
长安马自达昂克赛拉后悬挂异响 音响电流声
比亚迪宋Pro大灯配置与宣传不符
东风标致408行驶过程中发动机抖动失去动力
上汽通用五菱宏光变速箱异响要求免费维修
比亚迪宋Pro车型配置与宣传不符收费不合理
奇瑞瑞虎3车辆维修厂家无法提供原厂配件
上汽荣威RX5天窗漏水要求厂家延保
海马M6车身多处生锈希望厂家处理问题
上汽大通V80中控锁失灵维修后未解决
亚太沃尔沃XC60刹车异响希望尽快解决
广汽本田冠道发动机排放与AWD故障
广汽本田锋范经典底盘严重生锈希望尽快处理
东风悦达起亚智跑四个车门门锁周围生锈
一汽大众迈腾后视镜无货一直无法维修
华晨宝马5系新能源刹车软无法查出原因
长安福特锐界天窗漏水导致车内有积水
东风悦达起亚K3打方向时存在严重异响
一汽大众速腾发动机异响变速箱升挡拖挡
中华V6中间轴与转向管厂家始终不发货
一汽丰田卡罗拉车辆加速无力韩泰轮胎开裂
斯柯达明锐底盘异响 变速箱异响顿挫
比亚迪宋Pro经销商上牌保证金不退还
东风标致408蓄电池故障 希望厂家解决
吉利帝豪变速箱挂不上挡存在质量问题
一汽丰田威驰行驶中发动机异响4S店不处理
一汽马自达阿特兹车身及中控异响严重",车身附件及电器,影音系统故障,车身异响,2020-08-13,处理反馈,发动机
508478,猎豹汽车,猎豹CS10,2015款 2.0T 手动 卓越版,"东风风光580更换发动机后号码不变更
东风日产天籁变速箱故障 起步时车辆抖动
知豆D1行驶中变速箱跳挡要求厂家解决
广汽本田飞度发动机熄火无法启动要求解决
一汽大众T-ROC探歌韩泰轮胎开裂要求解决
上汽大众途观L行驶中摇臂脱落加速无力
哈弗H4大灯透镜自然开裂希望厂家质保
华晨宝马X2发动机异响严重希望处理
一汽马自达阿特兹车身与中控台异响
雪佛兰迈锐宝挂入P挡后仪表显示未挂入
观致5左后大灯内部有雾气要求厂家处理
长安福特福克斯车内出现浓重的异味
奇瑞A3 ABS与ESP灯常亮希望得到处理
五菱宏光变速箱顿挫脱挡减震异响要求解决
一汽大众速腾变速箱挂挡异响厂家不予解决
吉利缤瑞转向机壳体损坏厂家不予质保
吉利博瑞悬挂天窗异响售后承诺解决未兑现
上汽大众朗逸变速箱异响影响使用
比亚迪宋MAX新能源无法注册粉汇车买流量
一汽大众奥迪A6L变速箱无法加速要求解决
别克君越刹车失灵故障灯亮存在安全隐患
北京奔驰E级排气管质保期内出现沙眼
哈弗H6车辆售前维修但4S店故意隐瞒
雪佛兰科鲁泽冷车启动发动机异响 空挡抖动
一汽大众奥迪A4L座椅真皮皮面炸裂
凯迪拉克ATS-L中控屏幕失灵点击无反应
长安福特锐界远光失灵夜间无法用车
猎豹CS10制动效果极差导致发生事故",制动系统,刹车偏软,,2020-08-13,信息审核,变速器
508425,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,"斯柯达明锐大灯进水 转向异响要求解决
雪佛兰科沃兹变速箱与发动机之间渗油
启辰T70新车玛吉斯轮胎爆胎 售后不予保修
东风本田杰德4S店加装记录仪导致电瓶报废
长安CS75 PLUS摄像头模糊不清 制动异响
广汽本田冠道发动机故障灯亮存在质量问题
东风风行景逸X5座椅塌陷 配件与原车不同
一汽大众奥迪A4L怠速时车身晃动明显
斯柯达昊锐车内异味严重无法正常使用
奇瑞瑞虎8大灯照射视野过窄希望厂家解决
东风标致408冷车后桥异响4S店不予保修
一汽大众高尔夫不平路面低速变速箱异响
长安福特福克斯发动机频繁熄火要求解决
进口奥迪A3换挡机构故障要求厂家解决
东风日产天籁车身多处异响要求厂家解决
广汽丰田凯美瑞半轴防尘套漏油希望解决
一汽丰田RAV4荣放两前半轴防尘罩漏油
上汽大众桑塔纳4S店销售补过漆的问题车
上汽大众途观L变速箱机电控制单元损坏
东风标致408更换发动机正时皮带后烧机油
东风悦达起亚K3大灯灯眉处有变黄的现象
北京奔驰GLC翻板损坏两侧出风口温度不同
上汽大众帕萨特变速箱无奇数挡 故障灯亮
比亚迪元新能源充电系统故障灯亮 刹车失灵
江淮iEV动力电池故障 续航里程不足
上汽大众途观L行驶中发动机熄火方向盘锁死
一汽马自达阿特兹行驶中副驾驶A柱处异响
吉利博越新车打转向灯没有反应4S店态度差",车身附件及电器,车灯不亮,,2020-08-12,用户评分,发动机
